# CWC golden vectors for the variant FromSoftware's Frpg2 clients speak.
# Generated from ref/ds3so Source/ThirdParty/aes_modes/cwc.c (USE_LONGS path),
# which reproduces a real DS2 PS3 client's tag byte-for-byte.
# NOTE: testdata/cwc.1's TAG column is a DIFFERENT variant and must not be
# used to validate tags. Its CTX column is correct.
# fields: klen hlen mlen key iv hdr msg ct tag
16 0 0 101b26313c47525d68737e89949faab5 a0a1a2a3a4a5a6a7a8a9aa - - - d9f07e4f5565edeca974d3d7bc42fcd7
16 0 1 101b26313c47525d68737e89949faab5 a0a1a2a3a4a5a6a7a8a9aa - 01 35 8aad84bc15778d62bcd3b00bf12cbfd8
16 0 8 101b26313c47525d68737e89949faab5 a0a1a2a3a4a5a6a7a8a9aa - 01060b10151a1f24 35ffd4ddf8df08e0 2d758bd947b1f8255930ec549efb9582
16 0 12 101b26313c47525d68737e89949faab5 a0a1a2a3a4a5a6a7a8a9aa - 01060b10151a1f24292e3338 35ffd4ddf8df08e005db0c5e 435b5ef1ae5151e21ae23749e09bf319
16 0 20 101b26313c47525d68737e89949faab5 a0a1a2a3a4a5a6a7a8a9aa - 01060b10151a1f24292e33383d42474c51565b60 35ffd4ddf8df08e005db0c5eb8fe651c4116fa5f 4bb62fc6a75271410748f4d9c7739d3f
16 0 24 101b26313c47525d68737e89949faab5 a0a1a2a3a4a5a6a7a8a9aa - 01060b10151a1f24292e33383d42474c51565b60656a6f74 35ffd4ddf8df08e005db0c5eb8fe651c4116fa5f68f46c53 6e075ae68613e5ad0ebe4659e81c93ed
16 0 36 101b26313c47525d68737e89949faab5 a0a1a2a3a4a5a6a7a8a9aa - 01060b10151a1f24292e33383d42474c51565b60656a6f74797e83888d92979ca1a6abb0 35ffd4ddf8df08e005db0c5eb8fe651c4116fa5f68f46c53651c99cdb7f1a15b33c8aa94 48da25b0b6de4f187d42d102d35a61d5
16 1 0 101b26313c47525d68737e89949faab5 a1a2a3a4a5a6a7a8a9aaab 07 - - 5da962673380018d235eccdbc50c594e
16 1 1 101b26313c47525d68737e89949faab5 a1a2a3a4a5a6a7a8a9aaab 07 01 73 998b5ae84e3c127363720fd73a2f8b36
16 1 8 101b26313c47525d68737e89949faab5 a1a2a3a4a5a6a7a8a9aaab 07 01060b10151a1f24 73e50782c5361d53 78b08aeee7fd749a958f545bfbfcd186
16 1 12 101b26313c47525d68737e89949faab5 a1a2a3a4a5a6a7a8a9aaab 07 01060b10151a1f24292e3338 73e50782c5361d535579eba0 e88d21873398eea9899f97dce7e7adf6
